timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1573940025502,280,HTTP Request_Получение гостевого токена,200,OK,Thread Group 2-1,text,true,,2916,441,1,2,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,280,0,59
1573940025782,0,HTTP Request_Получение гостевого токена-0,200,OK,Thread Group 2-1,text,true,,1977,0,0,0,null,0,0,0
1573940025500,280,UC_01_casexe_Получение гостевого токена,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-1,,true,,2916,441,1,2,null,280,2,59
1573940025502,284,HTTP Request_Получение гостевого токена,200,OK,setUp Thread Group 1-1,text,true,,2930,441,1,2,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,283,0,58
1573940025786,0,HTTP Request_Получение гостевого токена-0,200,OK,setUp Thread Group 1-1,text,true,,1991,0,0,0,null,0,0,0
1573940025500,284,UC_01_casexe_Получение гостевого токена,200,"Number of samples in transaction : 1, number of failing samples : 0",setUp Thread Group 1-1,,true,,2930,441,1,2,null,283,2,58
1573940025783,226,HTTP Request_Регистрация нового игрока,201,Created,Thread Group 2-1,text,true,,3341,1177,1,2,http://test-api.d6.dev.devcaz.com/v2/players,225,0,0
1573940026009,0,HTTP Request_Регистрация нового игрока-0,200,OK,Thread Group 2-1,text,true,,2152,0,0,0,null,0,0,0
1573940025782,226,UC_02_casexe_Регистрация нового игрока,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-1,,true,,3341,1177,1,2,null,225,1,0
1573940025786,511,HTTP Request_Регистрация нового игрока,201,Created,setUp Thread Group 1-1,text,true,,3354,1177,1,2,http://test-api.d6.dev.devcaz.com/v2/players,511,0,0
1573940026297,0,HTTP Request_Регистрация нового игрока-0,200,OK,setUp Thread Group 1-1,text,true,,2165,0,0,0,null,0,0,0
1573940025786,511,UC_02_casexe_Регистрация нового игрока,200,"Number of samples in transaction : 1, number of failing samples : 0",setUp Thread Group 1-1,,true,,3354,1177,1,2,null,511,1,0
1573940026009,425,HTTP Request_Авторизация под игроком,200,OK,Thread Group 2-1,text,true,,5526,693,1,2,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,424,0,0
1573940026434,0,HTTP Request_Авторизация под игроком-0,200,OK,Thread Group 2-1,text,true,,2940,0,0,0,null,0,0,0
1573940026009,425,UC_03_casexe_Авторизация под игроком,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-1,,true,,5526,693,1,2,null,424,0,0
1573940026435,207,HTTP Request_Запрос профиля игрока,200,OK,Thread Group 2-1,text,true,,1079,1366,1,2,http://test-api.d6.dev.devcaz.com/v2/players/694,207,0,0
1573940026434,207,UC_04_casexe_Запрос профиля игрока,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-1,,true,,1079,1366,1,2,null,207,2,0
1573940026298,416,HTTP Request_Авторизация под игроком,200,OK,setUp Thread Group 1-1,text,true,,5539,693,1,2,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,416,0,0
1573940026714,0,HTTP Request_Авторизация под игроком-0,200,OK,setUp Thread Group 1-1,text,true,,2953,0,0,0,null,0,0,0
1573940026298,416,UC_03_casexe_Авторизация под игроком,200,"Number of samples in transaction : 1, number of failing samples : 0",setUp Thread Group 1-1,,true,,5539,693,1,2,null,416,1,0
1573940026643,186,HTTP Request_Запрос списка игр игроком,200,OK,Thread Group 2-1,text,true,,1046,1360,1,2,http://test-api.d6.dev.devcaz.com/v2/games,186,0,0
1573940026643,186,UC_05_casexe_Запрос списка игр игроком,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 2-1,,true,,1046,1360,1,2,null,186,1,0
1573940026715,216,HTTP Request_Запрос профиля игрока,200,OK,setUp Thread Group 1-1,text,true,,1079,1366,1,2,http://test-api.d6.dev.devcaz.com/v2/players/695,215,0,0
1573940026715,216,UC_04_casexe_Запрос профиля игрока,200,"Number of samples in transaction : 1, number of failing samples : 0",setUp Thread Group 1-1,,true,,1079,1366,1,2,null,215,0,0
1573940026830,196,HTTP Request_Запрос списка игр игроком с сортировкой,200,OK,Thread Group 2-1,text,true,,1056,1370,1,2,http://test-api.d6.dev.devcaz.com/v2/games?sort=name,196,0,0
